,real,predict
520,248.11,296.6211
521,269.32001,291.13623
522,239.85001,286.02536
523,252.8,280.6213
524,240.00000000000003,275.89212
525,240.50999000000002,271.2421
526,228.8,266.73026
527,222.95,262.00305
528,243.14999,257.03537
529,246.78999,253.18544
530,261.20001,250.44221
531,253.42,249.28531
532,261.64999,248.89925
533,257.75,249.49422
534,246.14999,250.4258
535,251.82999999999998,250.83348
536,248.19,250.95494
537,264.85999,250.88412
538,265.13,251.40416
539,274.03,252.31375
540,278.20001,253.99484
541,275.66,256.17197
542,283.79001,258.75604
543,277.76001,261.9575
544,279.10001,264.99008
545,286.64001,267.65082
546,281.59,269.9874
547,273.04001,272.03073
548,279.10001,273.137
549,279.07999,274.09296
550,282.97,274.97137
551,287.04999,276.04517
552,285.73001,277.5642
553,293.20999,278.9057
554,290.48001,280.40802
555,282.79001,281.72867
556,283.57001,282.4165
557,286.19,282.82916
558,284.25,283.40204
559,287.67999,284.11398
560,292.44,284.89603
561,292.5,285.92145
562,286.67001,286.97675
563,281.60001,287.5853
564,284.97,287.15546
565,286.28,286.21198
566,295.0,285.34122
567,291.97,285.1642
568,296.92999,285.6389
569,294.88,286.8097
570,295.44,288.3069
571,299.07999,289.85016
572,303.53,291.31454
573,302.97,292.65924
574,304.32001,293.91937
575,305.54999,295.02686
576,308.07999000000007,296.39713
577,312.1799899999999,298.0483
578,311.35999,299.83835
579,319.34,301.6184
580,323.20001,303.23032
581,320.79001,305.34518
582,319.0,307.80548
583,300.60999,310.10852
584,304.20999,310.2469
585,307.04999,308.90167
586,312.95999000000006,307.42535
587,311.65999999999997,306.79276
588,311.78,307.23145
589,308.6400100000001,308.363
590,310.62,309.2064
591,312.04999,309.94724
592,304.0899999999999,310.7698
593,307.35001,310.7134
594,300.04999,310.2442
595,304.45998999999995,309.0712
596,308.35999,307.9633
597,310.51999000000006,307.2757
598,312.23001,307.32324
599,317.04999000000004,308.07367
600,313.7799999999999,309.52045
601,316.17999,310.89755
602,314.38,312.2061
603,317.59,313.1002
604,314.84,313.883
605,318.92001,314.18588
606,321.85001,314.34363
607,320.79001,314.69586
608,321.72,315.43625
609,324.32001,316.4774
610,325.01001,317.89926
611,326.85999,319.43414
612,322.95999,320.91235
613,320.88,321.83698
614,323.22,322.1288
615,321.17001000000005,322.4613
616,325.12,322.77722
617,323.95999,323.32504
618,326.51999,323.85388
619,328.79001,324.2482
620,330.06,324.8671
621,332.10999,325.862
622,334.32999,327.14804
623,334.57001,328.58844
624,335.57001,329.85214
625,332.79999,330.927
626,337.44,331.6153
627,336.82999,332.3971
628,336.84000000000003,333.41904
629,337.91,334.4923
630,338.64001,335.65735
631,337.23001,336.81503
632,338.28,337.57175
633,339.48001,338.17184
634,342.92001000000005,338.72034
635,344.12,339.38763
636,347.57001,340.34262
637,348.32999,341.59055
638,350.57999,342.8673
639,349.31,344.19913
640,352.60001,345.38425
641,357.70001,346.59174
642,345.39001,347.95187
643,342.57001,348.14615
644,333.20999,347.35687
645,339.79001,345.92676
646,333.89000999999996,344.94714
647,334.06,344.3383
648,338.45999,343.9112
649,340.17001,343.87808
650,338.82001,344.2835
651,335.84,344.51123
652,330.64999,344.15146
653,326.97,343.0585
654,330.29999000000004,341.3914
655,322.64001,339.9465
656,323.5,338.3288
657,328.73001,336.76706
658,334.19,335.6238
659,332.37,335.2107
660,334.89001,335.30548
661,337.04001,335.40723
662,333.84,335.5168
663,339.76001,335.41354
664,334.92999,335.82947
665,340.76001,336.21225
666,343.78,336.96292
667,346.85001,338.20346
668,352.42999,339.76242
669,350.13,341.54883
670,347.92999,343.20767
671,347.5,344.63354
672,347.29001,345.73306
673,342.01001,346.36325
674,343.38,346.62198
675,342.73000999999994,346.8438
676,344.60999,347.14606
677,345.78,347.52783
678,339.39001,348.04944
679,338.21999999999997,347.99194
680,326.66,347.5643
681,329.98001,346.02417
682,326.54001,344.15778
683,330.20000999999996,341.9766
684,336.03,340.15155
685,343.54001,339.1065
686,350.23999,338.92776
687,350.16,339.95792
688,354.56,341.6988
689,354.04001,343.08588
690,356.67001,344.43988
691,353.20999,346.32733
692,358.10001,348.3264
693,362.57001,350.35684
694,360.62,352.39838
695,356.28,354.2218
696,357.78,355.6636
697,355.32999,356.85583
698,357.45999,357.69952
699,363.22,358.40906
700,362.66,359.37415
701,363.67001,360.65692
702,362.06,362.2265
703,366.01999000000006,363.34827
704,366.79001,364.21988
705,366.69,365.20447
706,369.85001,366.19678
707,369.09,367.33887
708,370.17001,368.56308
709,366.85000999999994,369.81006
710,366.73001,370.68106
711,366.29999,371.21658
712,364.66,371.63333
713,369.59,371.8599
714,370.17001,372.21286
715,372.23999,372.76413
716,369.17999,373.4714
717,367.85999,373.67487
718,367.23999,373.64267
719,367.57000999999997,373.816
720,369.0,374.32516
721,372.17001,375.12115
722,371.45999,376.02542
723,371.98999,376.7787
724,373.88000000000005,377.29944
